Family;Genus_species;ITD;social_tree;Nesting;Lecty;colony_size_min;colony_size_max;Average;Second_Est;Source
Megachilidae;Hoplitis_adunca;2,46;Solitary;Hole;Oligolectic;NA;NA;NA;NA;NA
Megachilidae;Hoplitis_anthocopoides;2,4;Solitary;Hole;Oligolectic;NA;NA;NA;NA;NA
Megachilidae;Megachile_femorata;NA;Solitary;NA;NA;NA;NA;NA;NA;NA
Megachilidae;Megachile_flavipes;2,9;Solitary;Hole;Oligolectic;NA;NA;NA;NA;NA
Megachilidae;Megachile_lapponica;2,8;Solitary;Hole;Oligolectic;NA;NA;NA;NA;NA
Megachilidae;Megachile_nana;1,9;Solitary;Hole;unclear;NA;NA;NA;NA;NA
Megachilidae;Megachile_parietina;4,5;Solitary;"""This species builds exposed nests made of hard mud in rock crevices, more rarely on twigs""";Oligolectic;NA;NA;NA;NA;NA
Megachilidae;Megachile_rotundata;2,4;Solitary;Hole;Polylectic;NA;NA;NA;NA;NA
Megachilidae;Megachile_sicula;4,3;Solitary;Constructs aboveground nests of sand shaped into a ball and attached to twigs or rocks;Oligolectic;NA;NA;NA;NA;NA
Megachilidae;Osmia_bicornis;3,04;Solitary;Hole, also excavastes burrows in crumbling or soft mortar;Polylectic;NA;NA;NA;NA;NA
Megachilidae;Osmia_cornifrons;2,9;Solitary;Hole;Polylectic;NA;NA;NA;NA;NA
Megachilidae;Osmia_cornuta;3,36;Solitary;Hole;Polylectic;NA;NA;NA;NA;NA
Megachilidae;Osmia_lignaria;2,9;Solitary;Hole;Polylectic;NA;NA;NA;NA;NA
Megachilidae;Osmia_maritima;2,9;Solitary;Ground;Polylectic;NA;NA;NA;NA;NA
Megachilidae;Osmia_mustelina;3,5;Solitary;Hole;Polylectic;NA;NA;NA;NA;NA
Megachilidae;Osmia_pedicornis;3,3;Solitary;NA;Polylectic;NA;NA;NA;NA;NA
Melittidae;Dasypoda_hirtipes;2,9;Solitary;Ground;Oligolectic;NA;NA;NA;NA;NA
