Authors;Year;Region;Country;Habitat;Family;Genus_species;Sex;Sex_Imp;Metric;N;distance_type;Distance;SD;SE;CI_95;Foraging trips cease (km);Communication ceases (km);Notes;follow_up
Chapman et al. (2003);2003;Europe;UK;urban;Apidae;Bombus_pascuorum;Female;Female;molecular;96;Max;720;;;;;Min max;yes_pdf;
Chapman et al. (2003);2003;Europe;UK;urban;Apidae;Bombus_pascuorum;Female;Female;molecular;96;Max;3200;;;;;Max max;yes_pdf;
Chapman et al. (2003);2003;Europe;UK;urban;Apidae;Bombus_pascuorum;Female;Female;molecular;96;Median;510;;;;;Min median - only range provided;yes_pdf;
Chapman et al. (2003);2003;Europe;UK;urban;Apidae;Bombus_pascuorum;Female;Female;molecular;96;Median;2300;;;;;Max median;yes_pdf;
Chapman et al. (2003);2003;Europe;UK;urban;Apidae;Bombus_terrestris;Female;Female;molecular;66;Max;870;;;;;Min max;yes_pdf;
Chapman et al. (2003);2003;Europe;UK;urban;Apidae;Bombus_terrestris;Female;Female;molecular;66;Max;3900;;;;;Max max;yes_pdf;
Chapman et al. (2003);2003;Europe;UK;urban;Apidae;Bombus_terrestris;Female;Female;molecular;66;Median;620;;;;;Min median;yes_pdf;
Chapman et al. (2003);2003;Europe;UK;urban;Apidae;Bombus_terrestris;Female;Female;molecular;66;Median;2800;;;;;Max median;yes_pdf;
Charman T.G., Sears J., Green R.E., Bourke A.F.G.;2010;Europe;Scotland;natural;Apidae;Bombus_distinguendus;Female;Female;molecular;;max_95;955;;;;;;;
Charman T.G., Sears J., Green R.E., Bourke A.F.G.;2010;Europe;Scotland;natural;Apidae;Bombus_distinguendus;Female;Female;molecular;;Mode;391;;;;;;;
Chmurzynski et al. (1998);1998;Europe;Poland;forest;Melittidae;Dasypoda_hirtipes;Female;Female;homing;30;Max;4000;;;;;Verified in text;yes_pdf;
Chmurzynski et al. (1998);1998;Europe;Poland;forest;Melittidae;Dasypoda_hirtipes;Female;Female;homing;30;Mean;1700;;;;;Greenleaf - logistic regression;yes_pdf;
Connop S., Hill T., Steer J., Shaw P.;2011;Europe;England;Seminatural;Apidae;Bombus_humilis;Female;Female;molecular;55;Max;2530;;;;;;;
Connop S., Hill T., Steer J., Shaw P.;2011;Europe;England;Seminatural;Apidae;Bombus_humilis;Female;Female;molecular;55;Mean;475;;;;;;;
Connop S., Hill T., Steer J., Shaw P.;2011;Europe;England;Seminatural;Apidae;Bombus_sylvarum;Female;Female;molecular;94;Max;2280;;;;;;;
Connop S., Hill T., Steer J., Shaw P.;2011;Europe;England;Seminatural;Apidae;Bombus_sylvarum;Female;Female;molecular;94;Mean;231;;;;;;;
Couvillon M.J., Riddell Pearce F.C., Accleton C., Fensome K.A., Quah S.K.L., Taylor E.L., Ratnieks F.L.W.;2015;Europe;England;mixed use;Apidae;Apis_mellifera;Female;Female;waggle dance;922;Mean;1074;;;;;;pollen foragers;
Couvillon M.J., Riddell Pearce F.C., Accleton C., Fensome K.A., Quah S.K.L., Taylor E.L., Ratnieks F.L.W.;2015;Europe;England;mixed use;Apidae;Apis_mellifera;Female;Female;waggle dance;4562;Mean;1408;;;;;;nectar foragers;
Crowther L.P., Wright D.J., Richardson D.S., Carvell C., Bourke A.F.G.;2019;Europe;England;mixed use;Apidae;Bombus_hypnorum;Female;Female;molecular;62;Max;601;;;;;;;
Crowther L.P., Wright D.J., Richardson D.S., Carvell C., Bourke A.F.G.;2019;Europe;England;mixed use;Apidae;Bombus_hypnorum;Female;Female;molecular;62;Mean;103,6;;;;;;;
Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.;2017;Europe;Germany;Agriculture;Apidae;Apis_mellifera;Female;Female;waggle dance;116;Mean;1482,65;662,9721163;;;;;Biebelried;PROBLEM: I tried to find the mean from the raw distances table in the supplement but there were two rows with nonsensical distances above 500000 meters or something so the mean was massive...like, thousands of kilometers. 
Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.;2017;Europe;Germany;Agriculture;Apidae;Apis_mellifera;Female;Female;waggle dance;86;Mean;590,15;407,9168889;;;;;Birkenfeld;
Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.;2017;Europe;Germany;Agriculture;Apidae;Apis_mellifera;Female;Female;waggle dance;46;Mean;901,78;597,6192999;;;;;Duttenbrunn;
Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.;2017;Europe;Germany;Agriculture;Apidae;Apis_mellifera;Female;Female;waggle dance;70;Mean;1070,67;1034,44118;;;;;Erlabrunn;
Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.;2017;Europe;Germany;Agriculture;Apidae;Apis_mellifera;Female;Female;waggle dance;89;Mean;1153,71;1044,57134;;;;;Estenfeld;
Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.;2017;Europe;Germany;Agriculture;Apidae;Apis_mellifera;Female;Female;waggle dance;81;Mean;1045,64;658,8490708;;;;;Euerfeld;
Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.;2017;Europe;Germany;Agriculture;Apidae;Apis_mellifera;Female;Female;waggle dance;95;Mean;1106,26;960,1508432;;;;;Gambach;
Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.;2017;Europe;Germany;Agriculture;Apidae;Apis_mellifera;Female;Female;waggle dance;72;Mean;827,6;733,7546873;;;;;Gerbrunn;
Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.;2017;Europe;Germany;Agriculture;Apidae;Apis_mellifera;Female;Female;waggle dance;115;Mean;773,23;768,8977966;;;;;Greussenheim;
Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.;2017;Europe;Germany;Agriculture;Apidae;Apis_mellifera;Female;Female;waggle dance;71;Mean;1293,71;1023,838781;;;;;Karsbach;
Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.;2017;Europe;Germany;Agriculture;Apidae;Apis_mellifera;Female;Female;waggle dance;61;Mean;521,68;910,283899;;;;;Marktbreit;
Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.;2017;Europe;Germany;Agriculture;Apidae;Apis_mellifera;Female;Female;waggle dance;101;Mean;995,04;876,8563393;;;;;Obersfeld;
Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.;2017;Europe;Germany;Agriculture;Apidae;Apis_mellifera;Female;Female;waggle dance;82;Mean;1659,73;1258,272499;;;;;Pleichfeld;
Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.;2017;Europe;Germany;Agriculture;Apidae;Apis_mellifera;Female;Female;waggle dance;84;Mean;1347,97;1572,388543;;;;;Retzstadt;
Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.;2017;Europe;Germany;Agriculture;Apidae;Apis_mellifera;Female;Female;waggle dance;116;Mean;426,34;304,2470442;;;;;Waldbrunn;
Danner N., Keller A., HÃ¤rtel S., Steffan-Dewenter I.;2017;Europe;Germany;Agriculture;Apidae;Apis_mellifera;Female;Female;waggle dance;61;Mean;1052,99;1112,555145;;;;;Winterhausen;
Danner N., Molitor A.M., Schiele S., HÃ¤rtel S., Steffan-Dewenter I.;2016;Europe;Germany;Agriculture;Apidae;Apis_mellifera;Female;Female;waggle dance;1347;Mean;1015;;26;;;;;DISCUSSION: this study is specifically across different landscape types
Darvill et al. (2004);2004;Europe;UK;agriculture woodland urban;Apidae;Bombus_pascuorum;Female;Female;molecular;237;Max;10000;;;;;Sister-pair at 10km - max distance tested;yes_pdf;
Darvill et al. (2004);2004;Europe;UK;agriculture woodland urban;Apidae;Bombus_pascuorum;Female;Female;molecular;237;Mean;625;;;;;;yes_pdf;
Darvill et al. (2004);2004;Europe;UK;agriculture woodland urban;Apidae;Bombus_terrestris;Female;Female;molecular;97;Max;7500;;;;;Sister-pair at 7.5km - authors argue they forage at reduced distances - as above;yes_pdf;
