Id,Genus,Subgenus,Specific epithet ,Location of measured specimen,Country,New record ,State ,Municipality,Day ,Month,Year,Location ,Sampling point,ITD,ITD average,Sex,Collector,Collection ID
353,Colletes,NA,altimontanus,UFMG,Brasil,no,Minas Gerais,Brumadinho,10,xii,2004,NA,NA,3.2,NA,Female,NA,11342-33733
354,Colletes,NA,altimontanus,UFMG,Brasil,no,Minas Gerais,Brumadinho,9,xi,2004,NA,NA,2.5,NA,Female,NA,11464-34074
355,Colletes,NA,meridionalis,UFMG,Brasil,no,Minas Gerais,São Gonçalo do Rio Preto,31,x,2002,Pq. E. do Rio Preto,NA,2.5,2.4,Female,F.M.Coelho,8235-24897
356,Colletes,NA,meridionalis,UFMG,Brasil,no,Minas Gerais,Januária,9,xii,1997,Povoado do Peruaçu,NA,2.5,NA,Female,R.L.Ferreira,5369-15045
357,Colletes,NA,meridionalis,UFMG,Brasil,no,Minas Gerais,Brumadinho,20,vii,1998,Serra da Moeda,NA,2.4,NA,Female,F.A.Silveira,2826-8307
358,Colletes,NA,meridionalis,UFMG,Brasil,no,Minas Gerais,Nova Lima,22,i,2012,Pq E. da Serra do Rola Moça,NA,2.2,NA,Female,R.Cunha Santos,25485-74907
359,Colletes,NA,meridionalis,UFMG,Brasil,no,Minas Gerais,Nova Lima,7,ii,2012,Pq E. da Serra do Rola Moça,NA,2.2,NA,Female,R.C.C.Arantes,25539-75033
360,Colletes,NA,petropolitanus,UFMG,Brasil,no,Pará,Canaã dos Carajás,1,iii,2012,NA,NA,2,2,Female,NA,UFMG IHY 1312583
361,Colletes,NA,petropolitanus,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,27,v,1998,EST Ecológico,NA,2,NA,Female,D.A.Yanega,3013-8909
362,Colletes,NA,petropolitanus,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,21,i,1999,copasa/barreiro,NA,1.8,NA,Female,G.Sousa,4885-13410
363,Colletes,NA,petropolitanus,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,NA,viii,1998,EST Ecológico,NA,2,NA,Female,D.A.Yanega,3011-8901
364,Colletes,NA,petropolitanus,UFMG,Brasil,no,Minas Gerais,Paraopeba,22,xii,1998,Faz. Itapoã,NA,2.1,NA,Female,V.Silva,2651-7921
365,Colletes,NA,rufipes,UFMG,Brasil,no,Minas Gerais,Nova Lima,15,xi,2004,NA,NA,2.7,2.5,Female,NA,UFMG IHY 33844
366,Colletes,NA,rufipes,UFMG,Brasil,no,Minas Gerais,Paraopeba,31,viii,1987,NA,NA,2.3,NA,Female,F.A.Silveira,509/1326
367,Colletes,NA,rufipes,UFMG,Brasil,no,Minas Gerais,Catas altas,28,v,1999,Serra do Caraça,NA,2.6,NA,Female,F.A.Silveira,3529-10371
368,Colletes,NA,rufipes,UFMG,Brasil,no,Minas Gerais,Sabará,16,vi,2001,Ch. Do Lessa,NA,2.5,NA,Female,R.B.Martines,9180-27380
369,Colletes,NA,rufipes,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,31,i,1997,Pq. Mangabeiras,NA,2.5,NA,Female,J.Damasceno,0941-2405
370,Dicranthidium,NA,arenarium,UFMG,Brasil,no,Pará,Canaã dos Carajás,23,xi,2012,NA,NA,1.4,1.6,Male,R.B.Martines,UFMG IHY 1301965
371,Dicranthidium,NA,arenarium,UFMG,Brasil,no,Pará,Canaã dos Carajás,24,xi,2012,NA,NA,1.6,NA,Male,R.B.Martines,UFMG IHY 1302022
372,Dicranthidium,NA,arenarium,UFMG,Brasil,no,Pará,Canaã dos Carajás,24,xi,2012,NA,NA,1.6,NA,Male,R.B.Martines,UFMG IHY 1302021
373,Dicranthidium,NA,arenarium,UFMG,Brasil,no,Pará,Canaã dos Carajás,22,xi,2012,NA,NA,1.6,NA,Male,R.B.Martines,UFMG IHY 1301832
374,Dicranthidium,NA,arenarium,UFMG,Brasil,no,Pará,Canaã dos Carajás,22,xi,2012,NA,NA,1.6,NA,Male,R.B.Martines,UFMG IHY 1301831
375,Dicranthidium,NA,gregarium,UFMG,Brasil,no,Minas Gerais,Nova Lima,5,ix,1998,copasa/mutuca,NA,1.9,1.9,Male,M.Pompeu,2550-7674
376,Dicranthidium,NA,gregarium,UFMG,Brasil,no,Minas Gerais,Sabará,29,ix,1996,Zona metalurgica,NA,1.8,NA,Male,F.A.Silveira,0504-1241
377,Dicranthidium,NA,gregarium,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,27,viii,1996,Zona metalurgica,NA,1.9,NA,Male,Y.Antonini,0473-1151
378,Dicranthidium,NA,gregarium,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,27,xi,1996,mus hist nat,NA,2,NA,Male,R.M.Carmo,0695-1670
379,Dicranthidium,NA,gregarium,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,6,xi,1996,Pq. Mangabeiras,NA,2,NA,Male,J.Damasceno,0641-1485
380,Epanthidium,NA,tigrinum,UFMG,Brasil,yes,Pará,Canaã dos Carajás,19,vi,2013,NA,NA,2.7,2.6,Male,R. B. Martines,UFMG-IHY 1313291
381,Epanthidium,NA,tigrinum,UFMG,Brasil,yes,Pará,Canaã dos Carajás,26,xi,2012,NA,NA,2.5,NA,Male,R. M. Carmo,UFMG-IHY 1302427
382,Epanthidium,NA,tigrinum,UFMG,Brasil,yes,Minas Gerais,Francisco Dumont,20,xii,2012,Serra do Cabral,NA,2.6,NA,Male,R. B. Martines,UFMG-IHY 1301456
383,Epanthidium,NA,tigrinum,UFMG,Brasil,yes,Minas Gerais,Sabará,10,iv,2012,Bairro Villa Real,NA,2.5,NA,Male,F.A. Silveira,UFMG-IHY 1309572
384,Epanthidium,NA,tigrinum,UFMG,Brasil,yes,Minas Gerais,Sabará,21,iv,2012,Bairro Villa Real,NA,2.6,NA,Male,F.A. Silveira,UFMG-IHY 1309647
385,Epicharis,Anepicharis,dejeanii,UFMG,Brasil,yes,Minas Gerais,Itamarandiba,13,i,1998,NA,NA,5.5,5.5,Female,F.A.Silveira,UFMGIHY6179
386,Epicharis,Anepicharis,dejeanii,UFMG,Brasil,yes,Minas Gerais,Itamarandiba,17,i,1998,NA,NA,5.3,NA,Female,F.A.Silveira,UFMGIHY6270
387,Epicharis,Anepicharis,dejeanii,UFMG,Brasil,yes,Minas Gerais,Nova Lima,13,iii,2012,NA,NA,5.5,NA,Female,NA,UFMG IHY 75348
388,Epicharis,Anepicharis,dejeanii,UFMG,Brasil,yes,Minas Gerais,Nova Lima,14,iii,2012,NA,NA,5.5,NA,Female,NA,UFMG IHY 75481
389,Epicharis,Anepicharis,dejeanii,UFMG,Brasil,yes,Minas Gerais,Nova Lima,7,ii,2012,NA,NA,5.5,NA,Female,NA,UFMG IHY 75040
390,Epicharis,Epicharana,flava,MPEG,Brasil,yes,Pará,Parauapebas,7,vii,1984,Serra Norte,Caldeirão,5.4,5.3,Female,Marcio Zanuto,MPEG-HYM11130862
391,Epicharis,Epicharana,flava,MPEG,Brasil,yes,Pará,Parauapebas,7,vii,1984,Serra Norte,Caldeirão,5.6,NA,Female,Marcio Zanuto,MPEG-HYM11130859
392,Epicharis,Epicharana,flava,MPEG,Brasil,yes,Pará,Parauapebas,7,vii,1984,Serra Norte,Caldeirão,5.4,NA,Female,Marcio Zanuto,MPEG-HYM11130861
393,Epicharis,Epicharana,flava,MPEG,Brasil,yes,Pará,Parauapebas,22,vi,1985,Serra Norte,Serraria,5,NA,Female,Marcio Zanuto,MPEG-HYM11130860
394,Epicharis,Epicharana,flava,UFMG,Brasil,no,Minas Gerais,Grão Mongol,23,v,2006,NA,NA,5.3,NA,Female,A.A. Azevedo,31791
395,Epicharis,Epicharis,bicolor,UFMG,Brasil,no,Minas Gerais,Mariléria,2,iii,1997,NA,NA,4.2,4.2,Female,E.A.B.Almeida,UFMGIHY4703
396,Epicharis,Epicharis,bicolor,UFMG,Brasil,no,Minas Gerais,Paraopeba,25,xi,1998,NA,NA,4,NA,Female,V.Silva,UFMGIHY7878
397,Epicharis,Epicharis,bicolor,UFMG,Brasil,no,Minas Gerais,Paraopeba,25,xi,1998,NA,NA,4.3,NA,Female,V.Silva,UFMGIHY7879
398,Epicharis,Epicharis,bicolor,UFMG,Brasil,no,Minas Gerais,Nova Lima,16,xi,2004,NA,NA,4.1,NA,Female,NA,UFMG IHY 33874
399,Epicharis,Epicharis,bicolor,UFMG,Brasil,no,Minas Gerais,Nova Lima,25,x,2011,NA,NA,4.3,NA,Female,NA,UFMG IHY 73486
400,Epicharis,Epicharoides,albofasciata,MPEG,Brasil,no,Mato Grosso,Barra dos Bugres,23,i,1986,NA,NA,4,3.9,Female,Macio Zanuto,MPEG-HYM11130951
401,Epicharis,Epicharoides,albofasciata,MPEG,Brasil,no,Amapá,Serra do Navio,15,v,1987,NA,NA,4.1,NA,Female,N Bittencourt,MPEG HYm 11130949
402,Epicharis,Epicharoides,albofasciata,MPEG,Brasil,no,Mato Grosso,Barra dos Bugres,23,i,1986,NA,NA,3.7,NA,Female,M Zanuto,MPEG HYM 11130950
403,Epicharis,Epicharoides,albofasciata,MPEG,Brasil,no,Pará,Parauapebas,16,ix,1985,Serra Norte,Manganês,3.7,NA,Female,MF Torres,MPEG-HYM11002249
404,Epicharis,Epicharoides,albofasciata,UFMG,Brasil,no,Minas Gerais,Viçosa,NA,iii,2010,Mata do Paraiso,NA,4,NA,Female,H. A. Werneck,UFMG-IHY 1203938
405,Epicharis,Hoplepicharis,affinis,MPEG,Brasil,no,Pará,Canaã dos Carajás,6,ix,2010,NA,NA,4.6,4.7,Female,R.R.Ferrari,UFMG IHY 1306819
406,Epicharis,Hoplepicharis,affinis,MPEG,Brasil,no,Pará,Canaã dos Carajás,6,ix,2010,NA,NA,5,NA,Female,R.R.Ferrari,UFMG IHY 1306820
407,Epicharis,Hoplepicharis,affinis,MPEG,Brasil,no,Pará,Canaã dos Carajás,6,ix,2010,NA,NA,4.8,NA,Female,R.R.Ferrari,UFMG IHY 1306821
408,Epicharis,Hoplepicharis,affinis,MPEG,Brasil,no,Pará,Parauapebas,31,viii,2017,NA,NA,4.5,NA,Female,E.N.L.Siqueira,UFMG IHY 1706877
409,Epicharis,Hoplepicharis,affinis,MPEG,Brasil,no,Pará,Canaã dos Carajás,1,xii,2017,Serra Norte,N6,4.7,NA,Female,E Pinto,MPEG03050962
410,Epicharis,Triepicharis,analis,UFMG,Brasil,no,Minas Gerais,Nova Lima,8,ii,2012,Parque Estadual da Serra do Rola Moça,NA,6,6.1,Female,A.Alvarenga,25563-75066
411,Epicharis,Triepicharis,analis,UFMG,Brasil,no,Minas Gerais,Uberlândia,25,v,2012,NA,NA,6,NA,Female,Ferreira C.,UFMG IHY 1608791
412,Epicharis,Triepicharis,analis,UFMG,Brasil,no,Minas Gerais,Uberlândia,25,v,2012,NA,NA,6,NA,Female,Ferreira C.,UFMG IHY 1608792
413,Epicharis,Triepicharis,analis,UFMG,Brasil,no,Minas Gerais,Nova Lima,8,ii,2012,Parque Estadual da Serra do Rola Moça,NA,6,NA,Female,R.Cunha Santos,25598-75124
414,Epicharis,Triepicharis,analis,UFMG,Brasil,no,Minas Gerais,Nova Lima,15,ii,2012,Parque Estadual da Serra do Rola Moça,NA,6.3,NA,Female,R.Cunha Santos,25589-75112
415,Eufriesea,NA,auriceps,UFMG,Brasil,no,Minas Gerais,Nova Lima,8,iii,2012,NA,NA,5.5,5.2,Male,NA,UFMG IHY 75319
416,Eufriesea,NA,auriceps,UFMG,Brasil,yes,Pará,Canaã dos Carajás,1,ii,2010,NA,NA,5.1,NA,Male,A.S.Alvarenga,UFMG IHY 1305037
417,Eufriesea,NA,auriceps,UFMG,Brasil,yes,Pará,Canaã dos Carajás,1,ii,2010,NA,NA,5.3,NA,Male,R.C.C.Arantes,UFMG IHY 1303997
418,Eufriesea,NA,auriceps,UFMG,Brasil,no,Minas Gerais,Francisco Dumont,21,xii,2012,Serra do Cabral,NA,5.2,NA,Male,R.M.Carmo,UFMG IHY 1301792
419,Eufriesea,NA,auriceps,UFMG,Brasil,no,Minas Gerais,Francisco Dumont,20,xii,2012,Serra do Cabral,NA,5,NA,Male,R.M.Carmo,UFMG IHY 1301758
420,Eufriesea,NA,concava,MPEG,Brasil,no,Pará,Belém,16,vi,1993,MPEG,NA,5.4,5.7,Male,Marcio Zanuto,MPEG-HYM11132633
421,Eufriesea,NA,concava,MPEG,Brasil,no,Pará,S.J. Pirabas,25,vii,1978,NA,NA,5.4,NA,Male,M.F. Torres,MPEG-HYM11132541
422,Eufriesea,NA,concava,MPEG,Brasil,no,Pará,Bragança,6,ix,1978,NA,NA,5.7,NA,Male,R.B. Neto,MPEG-HYM11132536
423,Eufriesea,NA,concava,MPEG,Brasil,no,Pará,Parauapebas,NA,v,2017,Serra Norte,N8,6,NA,Male,UM Maia,NA
424,Eufriesea,NA,concava,MPEG,Brasil,no,Pará,Canaã dos Carajás,NA,v,2017,Serra Sul,S11c,6,NA,Male,NA,NA
425,Eufriesea,NA,eburneocincta,MPEG,Brasil,yes,Pará,Parauapebas,17,x,1984,Serra Norte,Manganês,5.6,5.7,Male,Marcio Zanuto,NA
426,Eufriesea,NA,eburneocincta,MPEG,Brasil,yes,Pará,Parauapebas,25,viii,1984,Serra Norte,Estrada Manganês,5.8,NA,Male,Marcio Zanuto,NA
427,Eufriesea,NA,eburneocincta,MPEG,Brasil,yes,Pará,Parauapebas,20,viii,1984,Serra Norte,Estrada Fofoca,5.6,NA,Male,Marcio Zanuto,NA
428,Eufriesea,NA,eburneocincta,MPEG,Brasil,yes,Pará,Parauapebas,17,viii,1984,Serra Norte,Salobo,5.7,NA,Male,Marcio Zanuto,NA
429,Eufriesea,NA,flaviventris,MPEG,Brasil,yes,Mato Grosso,NA,16,xi,1982,Chapada dos Guimarães,Fazenda Buriti,5.3,5.4,Male,Marcio Zanuto & W. Overal,MPEG-HYM11132517
430,Eufriesea,NA,flaviventris,MPEG,Brasil,no,Pará,Benevides,6,iii,2004,Neopólis,NA,5.5,NA,Male,R.J. Moraes Jr.,MPEG-HYM11132646
431,Eufriesea,NA,flaviventris,MPEG,Brasil,no,Pará,Parauapebas,27,x,1984,Serra Norte,N-1 Canga,5.5,NA,Male,Marcio Zanuto,NA
432,Eufriesea,NA,fuscatra,UFMG,Brasil,no,Pará,Canaã dos Carajás,12,ii,2015,NA,NA,5.3,5.3,Male,R.B.Martines; A.Cordeiro,UFMGIHY1500736
433,Eufriesea,NA,fuscatra,UFMG,Brasil,no,Pará,Canaã dos Carajás,14,ii,2015,NA,NA,5.5,NA,Male,R.B.Martines; A.Cordeiro,UFMGIHY1500919
434,Eufriesea,NA,fuscatra,UFMG,Brasil,no,Pará,Canaã dos Carajás,12,ii,2015,NA,NA,5.5,NA,Male,NA,UFMG IHY 1500736
435,Eufriesea,NA,fuscatra,UFMG,Brasil,no,Pará,Canaã dos Carajás,14,ii,2015,NA,NA,5,NA,Male,NA,UFMG IHY 1500919
436,Eufriesea,NA,fuscatra,UFMG,Brasil,no,Pará,Canaã dos Carajás,15,ii,2015,NA,NA,5.2,NA,Male,NA,UFMG IHY 1500948
437,Eufriesea,NA,nigrohirta,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,17,i,1996,NA,NA,5,4.8,Male,F.A.Silveira,UFMGIHY334
438,Eufriesea,NA,nigrohirta,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,22,xii,1996,NA,NA,4.5,NA,Male,E.A.B.Almeida,UFMGIHY2266
439,Eufriesea,NA,nigrohirta,UFMG,Brasil,no,Minas Gerais,Brumadinho,13,xii,2011,NA,NA,4.5,NA,Male,NA,UFMG IHY 1414124
440,Eufriesea,NA,nigrohirta,UFMG,Brasil,no,Minas Gerais,Brumadinho,13,xii,2011,NA,NA,5,NA,Male,NA,UFMG IHY 1414149
441,Eufriesea,NA,nigrohirta,UFMG,Brasil,no,Minas Gerais,Brumadinho,13,xii,2011,NA,NA,5,NA,Male,NA,UFMG IHY 1414151
442,Eufriesea,NA,ornata,MPEG,Brasil,no,Mato Grosso,Barra dos Bugres,23,i,1986,R.E. Serra das Araras,NA,6.4,6.9,Male,NA,MPEG-HYM11132502
443,Eufriesea,NA,ornata,MPEG,Brasil,no,Pará,Tailândia,28,vii,2011,NA,NA,7.5,NA,Male,M.Taniguchi,MPEG03009906
444,Eufriesea,NA,ornata,MPEG,Brasil,no,Pará,Canaã dos Carajás,NA,iv,2017,Serra Sul,S11c,7,NA,Male,UM Maia,MPEG 03053661
445,Eufriesea,NA,ornata,MPEG,Brasil,no,Pará,Parauapebas,NA,NA,2017,Serra Norte,N2,6.6,NA,Male,UM Maia,MPEG 03053659
446,Eufriesea,NA,ornata,MPEG,Brasil,no,Pará,Canaã dos Carajás,NA,iv,2017,Serra Bocaina,NA,7.7,NA,Male,UM Maia,MPEG 03053662
447,Eufriesea,NA,pulchra,MPEG,Brasil,no,Pará,Parauapebas,18,vii,1983,Serra Norte,pojuca,5.7,5.8,Male,R.B.Neto,MPEG-HYM11004892
448,Eufriesea,NA,pulchra,MPEG,Brasil,no,Pará,Parauapebas,18,vii,1983,Serra Norte,pojuca,5.8,NA,Male,R.B.Neto,MPEG-HYM11004893
449,Eufriesea,NA,pulchra,MPEG,Brasil,no,Pará,Parauapebas,20,x,1984,Serra Norte,Caldeirão,5.9,NA,Male,Marcio Zanuto,NA
450,Eufriesea,NA,pulchra,MPEG,Brasil,no,Pará,Parauapebas,20,x,1984,Serra Norte,Caldeirão,5.5,NA,Male,Marcio Zanuto,NA
451,Eufriesea,NA,pulchra,MPEG,Brasil,no,Pará,Benevides,6,iii,2004,Neopólis,NA,6,NA,Male,R.J. Moraes Jr.,MPEG-HYM11132564
452,Eufriesea,NA,superba,MPEG,Brasil,no,Pará,Parauapebas,29,x,1984,Serra Norte,Estrada Fofoca,5.8,5.6,Male,M.F. Torres,NA
453,Eufriesea,NA,superba,MPEG,Brasil,no,Pará,Parauapebas,21,viii,1984,Serra Norte,Ig. Fofoac,5.1,NA,Male,Marcio Zanuto,MPEG-HYM11004866
454,Eufriesea,NA,superba,MPEG,Brasil,no,Pará,Parauapebas,17,x,1984,Serra Norte,Manganês,5.6,NA,Male,T. Pimentel,NA
455,Eufriesea,NA,superba,MPEG,Brasil,no,Pará,Parauapebas,17,x,1984,Serra Norte,Manganês,5.7,NA,Male,NA,NA
456,Eufriesea,NA,superba,MPEG,Brasil,no,Pará,Parauapebas,29,x,1984,Serra Norte,fofoca,6,NA,Male,Marcio Zanuto,NA
457,Euglossa,Euglossa,amazonica,MPEG,Brasil,no,Pará,Parauapebas,15,viii,1984,Serra Norte,pojuca,3.2,3.1,Male,Marcio Zanuto,MPEG-HYM11004948
458,Euglossa,Euglossa,amazonica,MPEG,Brasil,no,Pará,Parauapebas,15,viii,1984,Serra Norte,pojuca,3,NA,Male,Marcio Zanuto,MPEG-HYM11004947
459,Euglossa,Euglossa,amazonica,MPEG,Brasil,no,Pará,Parauapebas,15,viii,1984,Serra Norte,pojuca,3.1,NA,Male,Marcio Zanuto,MPEG-HYM11004946
460,Euglossa,Euglossa,amazonica,MPEG,Brasil,no,Pará,Parauapebas,21,x,1984,Serra Norte,Serraria,3.1,NA,Male,NA,MPEG-HYM11002739
461,Euglossa,Euglossa,amazonica,MPEG,Brasil,no,Pará,Parauapebas,17,viii,1984,Serra Norte,Salobo,3.2,NA,Male,Marcio Zanuto,MPEG-HYM11005114
462,Euglossa,Euglossa,analis,UFMG,Brasil,no,Minas Gerais,Mariléria,4,vii,1999,NA,NA,3.5,3.5,Male,A.G.Damasceno,3802-10954
463,Euglossa,Euglossa,analis,UFMG,Brasil,no,Minas Gerais,Mariléria,3,vii,1999,NA,NA,3.5,NA,Male,A. Nemésio,3802-10955
464,Euglossa,Euglossa,analis,UFMG,Brasil,yes,Acre,Mancio Lima,9,xi,1996,NA,NA,3.5,NA,Male,E.F.Morato,12380-36502
465,Euglossa,Euglossa,analis,UFMG,Brasil,yes,Acre,Rio Branco,4,ix,1996,NA,NA,3.6,NA,Male,E.F.Morato,15446-44557
466,Euglossa,Euglossa,analis,UFMG,Brasil,no,Pará,Canaã dos Carajás,4,xii,2010,NA,NA,3.4,NA,Male,L.N.Perillo,UFMG IHY 1310832
467,Euglossa,Euglossa,avicula,MPEG,Brasil,yes,Pará,Parauapebas,15,viii,1984,Serra Norte,pojuca,3.3,3.4,Male,Marcio Zanuto,MPEG-HYM11004942
468,Euglossa,Euglossa,avicula,MPEG,Brasil,yes,Pará,Parauapebas,23,viii,1984,Serra Norte,pojuca,3.4,NA,Male,M.F. Torres,MPEG-HYM11005002
469,Euglossa,Euglossa,avicula,MPEG,Brasil,yes,Pará,Parauapebas,23,viii,1984,Serra Norte,pojuca,3.4,NA,Male,Marcio Zanuto,MPEG-HYM11005033
470,Euglossa,Euglossa,avicula,MPEG,Brasil,yes,Pará,Parauapebas,21,viii,1984,Serra Norte,fofoca,3.4,NA,Male,M.F. Torres,MPEG-HYM11005191
471,Euglossa,Euglossa,avicula,MPEG,Brasil,yes,Pará,Parauapebas,17,viii,1984,Serra Norte,Salobo,3.3,NA,Male,Marcio Zanuto,MPEG-HYM11005176
472,Euglossa,Euglossa,azureoviridis,UFMG,Brasil,yes,Pará,Canaã dos Carajás,7,ix,2010,NA,NA,3.2,3.3,Male,R.B. Martines,UFMG-IHY 1306867
473,Euglossa,Euglossa,azureoviridis,UFMG,Brasil,yes,Pará,Canaã dos Carajás,8,ix,2010,NA,NA,3.2,NA,Male,R.R. Martines,UFMG-IHY 1306896
474,Euglossa,Euglossa,azureoviridis,UFMG,Brasil,yes,Pará,Canaã dos Carajás,29,iv,2010,NA,NA,3.3,NA,Male,R.C.C. Arantes,UFMG-IHY 1314223
475,Euglossa,Euglossa,azureoviridis,UFMG,Brasil,yes,Pará,Canaã dos Carajás,9,ix,2010,NA,NA,3.5,NA,Male,R.B. Martines,UFMG-IHY 1306981
476,Euglossa,Euglossa,azureoviridis,UFMG,Brasil,yes,Pará,Canaã dos Carajás,8,ix,2010,NA,NA,3.4,NA,Male,R.B. Martines,UFMG-IHY 1306892
477,Euglossa,Euglossa,bidentata,MPEG,Brasil,no,Pará,Parauapebas,20,x,1984,Serra Norte,Caldeirão,3.4,3.5,Male,Marcio Zanuto,MPEG-HYM11002707
478,Euglossa,Euglossa,bidentata,MPEG,Brasil,no,Pará,Paragominas,4,xi,2011,NA,NA,3.5,NA,Male,M. Taniguchi,MPEG03008928
479,Euglossa,Euglossa,bidentata,MPEG,Brasil,no,Pará,Paragominas,4,xi,2011,NA,NA,3.4,NA,Male,M. Taniguchi,MPEG03008954
480,Euglossa,Euglossa,bidentata,MPEG,Brasil,no,Pará,Paragominas,4,xi,2011,NA,NA,3.7,NA,Male,M. Taniguchi,MPEG03008932
481,Euglossa,Euglossa,bidentata,MPEG,Brasil,no,Pará,Paragominas,4,xi,2011,NA,NA,3.5,NA,Male,M. Taniguchi,MPEG03008931
482,Euglossa,Euglossa,chlorina,MPEG,Brasil,yes,Pará,Parauapebas,01-Dec,ix,1985,Serra Norte,Manganês,3.2,3.2,Male,F.F. Ramos,MPEG-HYM11002726
483,Euglossa,Euglossa,chlorina,MPEG,Brasil,yes,Pará,Parauapebas,21,viii,1984,Serra Norte,fofoca,3.2,NA,Male,M.F. Torres,MPEG-HYM11005015
484,Euglossa,Euglossa,chlorina,MPEG,Brasil,yes,Pará,Parauapebas,29,x,1984,Serra Norte,Estrada Fofoca,3.3,NA,Male,M.F. Torres,MPEG-HYM11002734
485,Euglossa,Euglossa,chlorina,MPEG,Brasil,yes,Pará,Parauapebas,22,x,1984,Serra Norte,Manganês,3.2,NA,Male,R.B. Neto,MPEG-HYM111002733
486,Euglossa,Euglossa,chlorina,UFMG,Brasil,yes,Pará,Canaã dos Carajás,8,ix,2010,NA,NA,3.2,NA,Male,R.C.C. Arantes,UGFMG-IHY 1306704
487,Euglossa,Euglossa,cognata,MPEG,Brasil,no,Pará,Parauapebas,21,x,1984,Serra Norte,Serraria,4.1,4,Male,NA,MPEG-HYM11002717
488,Euglossa,Euglossa,cognata,MPEG,Brasil,no,Pará,Parauapebas,20,x,1984,Serra Norte,Caldeirão,4,NA,Male,Marcio Zanuto,MPEG-HYM11002708
489,Euglossa,Euglossa,cognata,MPEG,Brasil,no,Pará,Parauapebas,21,x,1985,Serra Norte,Caldeirão,4,NA,Male,Marcio Zanuto,MPEG-HYM11002715
490,Euglossa,Euglossa,cognata,MPEG,Brasil,no,Pará,Parauapebas,20,ix,1985,Serra Norte,Serraria,4,NA,Male,W. França,MPEG-HYM11002669
491,Euglossa,Euglossa,cognata,MPEG,Brasil,no,Pará,Parauapebas,20,ix,1985,Serra Norte,Serraria,3.9,NA,Male,M.F. Torres,MPEG-HYM11002675
492,Euglossa,Euglossa,cordata,MPEG,Brasil,no,Pará,Parauapebas,13,viii,1984,Serra Norte,Estrada Manganês,3.3,3.4,Male,Marcio Zanuto,MPEG_HYM11005554
493,Euglossa,Euglossa,cordata,MPEG,Brasil,no,Pará,Belém,29,vii,1999,MPEG,NA,3.5,NA,Male,Fernando Souza,NA
494,Euglossa,Euglossa,cordata,MPEG,Brasil,no,Maranhão,Bacabal,26,xi,1989,Fazenda Estiva,NA,3.4,NA,Male,J. Silva Jr.,MPEG-HYM11133368
495,Euglossa,Euglossa,cordata,MPEG,Brasil,no,Pará,Belém,20,xii,2000,NA,NA,3.4,NA,Male,Fernando Souza,MPEG-HYM11133239
496,Euglossa,Euglossa,cordata,MPEG,Brasil,no,Pará,Belém,NA,vii,1966,MPEG,NA,3.5,NA,Male,P. Waldir,MPEG-HYM11133254
497,Euglossa,Euglossa,deceptrix,MPEG,Brasil,yes,Pará,Parauapebas,23,viii,1984,Serra Norte,pojuca,3.4,3.3,Male,W. França,MPEG-HYM11005248
498,Euglossa,Euglossa,deceptrix,MPEG,Brasil,yes,Pará,Parauapebas,21,viii,1984,Serra Norte,fofoca,3.5,NA,Male,M.F. Torres,MPEG-HYM11005571
499,Euglossa,Euglossa,deceptrix,MPEG,Brasil,yes,Pará,Parauapebas,23,viii,1984,Serra Norte,pojuca,3.4,NA,Male,W. França,MPEG-HYM11005266
500,Euglossa,Euglossa,deceptrix,MPEG,Brasil,yes,Pará,Parauapebas,21,viii,1984,Serra Norte,Estrada Fofoca,3.3,NA,Male,W. França,MPEG-HYM11005443
501,Euglossa,Euglossa,deceptrix,MPEG,Brasil,yes,Pará,Parauapebas,20,viii,1984,Serra Norte,Estrada Fofoca,3.1,NA,Male,Marcio Zanuto,MPEG-HYM11005557
502,Euglossa,Euglossa,despecta,MPEG,Brasil,yes,Pará,Parauapebas,10,viii,1984,Serra Norte,Manganês,3.3,3.4,Male,M.F. Torres,MPEG-HYM11005021
503,Euglossa,Euglossa,despecta,MPEG,Brasil,yes,Pará,Parauapebas,23,viii,1984,Serra Norte,pojuca,3.3,NA,Male,M.F. Torres,MPEG-HYM11005023
504,Euglossa,Euglossa,despecta,MPEG,Brasil,yes,Pará,Parauapebas,23,viii,1984,Serra Norte,fofoca,3.4,NA,Male,Marcio Zanuto,MPEG-HYM11005376
505,Euglossa,Euglossa,despecta,MPEG,Brasil,yes,Pará,Altamira,15,xi,2005,Castelo de Sonhos,NA,3.5,NA,Male,A.L. Nunes,NA
506,Euglossa,Euglossa,despecta,MPEG,Brasil,yes,Pará,Benevides,17,iv,2004,Neopólis,NA,3.4,NA,Male,R.J. Moraes Jr.,MPEG-HYM11133150
507,Euglossa,Euglossa,fimbriata,MPEG,Brasil,yes,Pará,Parauapebas,24,viii,1984,Serra Norte,NA,3.4,3.4,Male,M.F. Torres,MPEG-HYM11005226
