Id,Genus,Subgenus,Specific epithet ,Location of measured specimen,Country,New record ,State ,Municipality,Day ,Month,Year,Location ,Sampling point,ITD,ITD average,Sex,Collector,Collection ID
1013,Melitoma,NA,segmentaria,MPEG,Brasil,no,Pará,Canaã dos Carajás,6,ii,2017,Serra Norte,N6,2.7,2.7,Female,E Pinto,MPEG03050944
1014,Melitoma,NA,segmentaria,UFMG,Brasil,yes,Minas Gerais,Belo Horizonte,4,vii,1996,NA,NA,2.7,NA,Female,Y. Antonini,0397-1025
1015,Melitoma,NA,segmentaria,UFMG,Brasil,yes,Minas Gerais,Belo Horizonte,16,vii,1996,NA,NA,2.7,NA,Female,Y. Antonini,0402-1032
1016,Melitoma,NA,segmentaria,UFMG,Brasil,no,Pará,Canaã dos Carajás,22,vi,2013,NA,NA,2.6,NA,Female,R.M. Carmo,UFMG-IHY 1313563
1017,Melitoma,NA,segmentaria,UFMG,Brasil,no,Pará,Canaã dos Carajás,19,vi,2013,NA,NA,2.7,NA,Female,R. B. Martines,UFMG-IHY 1313304
1018,Mesocheira,NA,bicolor,MPEG,Brasil,no,Pará,Chaves,1,xii,1901,NA,NA,2.8,2.7,Female,A. Ducke,MPEG HYM 11131043
1019,Mesocheira,NA,bicolor,MPEG,Brasil,no,Pará,Almeirim,16,iv,1903,NA,NA,2.9,NA,Female,A. Ducke,MPEG HYM 11131045
1020,Mesocheira,NA,bicolor,MPEG,Brasil,no,Pará,Almeirim,28,iv,1902,Rio Arraiolos,NA,2.6,NA,Female,A. Ducke,MPEG HYM 11131042
1021,Mesocheira,NA,bicolor,UFMG,Brasil,yes,Minas Gerais,Brumadinho,9,xi,2004,NA,NA,2.5,NA,Female,NA,UFMG IHY 34072
1022,Mesocheira,NA,bicolor,UFMG,Brasil,yes,Minas Gerais,Nova Lima,3,xi,2011,NA,NA,2.6,NA,Female,NA,UFMG IHY 74182
1023,Monoeca,NA,pluricincta,UFMG,Brasil,no,Minas Gerais,Brumadinho,12,xii,1997,NA,NA,3,3,Female,NA,UFMG IHY 5207
1024,Monoeca,NA,pluricincta,UFMG,Brasil,no,Minas Gerais,Brumadinho,12,xii,1997,NA,NA,3.1,NA,Female,NA,UFMG IHY 5382
1025,Monoeca,NA,pluricincta,UFMG,Brasil,no,Minas Gerais,Brumadinho,12,xii,1997,NA,NA,2.9,NA,Female,NA,UFMG IHY 5386
1026,Nannotrigona,NA,punctata,UFMG,Brasil,no,Pará,Canaã dos Carajás,23,xi,2012,NA,NA,1.4,1.3,Female,R. B. Martines,UFMG-IHY 1301923
1027,Nannotrigona,NA,punctata,UFMG,Brasil,no,Pará,Canaã dos Carajás,23,xi,2012,NA,NA,1.3,NA,Female,R. B. Martines,UFMG-IHY 1301924
